,,PEN AMERICA'S INDEX OF SCHOOL BOOK BANS,,,,,,,
Florida,Brevard Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Tricks (Tricks Series),,,
Florida,Brevard Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",What Girls Are Made Of,,,
Florida,Brevard Public Schools,Administrator,May 2022,Banned Pending Investigation,"Kepnes, Caroline",You: A Novel of Dark Obsession (You Series),,,
Florida,Broward County Public Schools,Administrator,June 2022,Banned in Libraries and Classrooms,"Schiffer, Miriam B.",Stella Brings the Family,,"Clifton-Brown, Holly",
Florida,Broward County Public Schools,Administrator,June 2022,Banned in Libraries and Classrooms,"Polacco, Patricia",In Our Mothers' House,,,
Florida,Broward County Public Schools,Administrator,June 2022,Banned in Libraries and Classrooms,"Kilodavis, Cheryl",My Princess Boy,,"DeSimone, Suzanne",
Florida,Broward County Public Schools,Administrator,June 2022,Banned in Libraries and Classrooms,"Fierstein, Harvey",The Sissy Duckling,,"Cole, Henry",
Florida,Broward County Public Schools,Administrator,June 2022,Banned in Libraries and Classrooms,"Richardson, Justin",And Tango Makes Three,"Parnell, Peter","Cole, Henry",
Florida,Clay County District Schools,Administrator,June 2022,Banned Pending Investigation,"Sebold, Alice",Lucky,,,
Florida,Clay County District Schools,Administrator,December 2021,Banned in Libraries and Classrooms,"Johnson, George M.",All Boys Aren't Blue,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Sorell, Traci",At the Mountain's Base,,"Alvitre, Weshoyot",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Cline-Ransome, Lesa",Before She Was Harriet,,"Ransome, James E.",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Rockliff, Mara",Chik Chak Shabbat,,"Brooker, Kyrsten",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Garcia, Isabella",Cow on the Town: Practicing the Ow Sound,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Morales, Yuyi",Dreamers,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Rattigan, Jama Kim",Dumpling Soup,,"Hsu-Flanders, Lillian",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Noble Maillard, Kevin",Fry Bread: A Native American Family Story,,"Martinez-Neal, Juana",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Lumbard, Rabiah York",The Gift of Ramadan,,"Horton, Laura K.",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Tompert, Ann",Grandfather Tang's Story,,"Parker, Robert Andrew",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Ho, Minfong",Hush! A Thai Lullaby,,"Meade, Holly",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Díaz, Junot",Islandborn,,"Espinosa, Leo",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Morales, Yuyi",Little Night/Nochecita,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Velásquez, Eric",Looking for Bongo,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Kuntz, Doug",Lost and Found Cat : The True Story of Kunkush's Incredible Journey,"Shrodes, Amy","Cornelison, Sue",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Mora, Pat",Love to Mama: A Tribute To Mothers,,"Barragán M., Paula S.",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Meddour, Wendy",Lubna and Pebble,,"Egneus, Daniel",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Joosten, Michael",My Two Dads and Me,,"Zenou, Izak",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Joosten, Michael",My Two Moms and Me,,"Zenou, Izak",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Anderson, Airlie",Neither,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Jules, Jacqueline",Never Say a Mean Word Again: A Tale from Medieval Spain,,"Bernhard, Durga Yael",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Park, Linda Sue",Nya's Long Walk: A Step at a Time,,"Pinkney, Brian",
